Easting;Northing;Species;DamageClass;AgeClass;CrownStatus;Mixture;Setup_Aufbau
3.432.921,80;5.303.801,00;2;2;2;2;4;1
3.432.947,60;5.303.799,40;2;2;5;2;2;1
3.432.973,50;5.303.797,90;2;3;5;2;2;1
3.432.999,30;5.303.796,40;2;1;6;2;3;1
3.433.025,00;5.303.794,80;2;3;6;2;3;1
3.433.050,70;5.303.793,30;2;1;6;2;3;1
3.433.076,10;5.303.791,70;2;3;6;2;3;1
3.432.047,90;5.303.819,10;2;3;0;0;0;0
3.432.389,40;5.303.805,10;10;1;0;0;0;0
3.432.416,30;5.303.803,80;2;3;0;0;0;0
3.432.524,20;5.303.797,80;2;2;5;2;2;1
3.432.551,00;5.303.796,30;2;2;0;0;0;0
3.432.577,80;5.303.794,90;2;3;5;2;2;1
3.432.604,60;5.303.793,50;2;2;5;2;2;1
3.432.631,30;5.303.792,10;2;1;5;2;2;1
3.432.657,90;5.303.790,60;2;1;5;2;2;1
3.432.684,60;5.303.789,10;2;1;5;2;2;1
3.432.711,20;5.303.787,60;2;1;5;2;2;1
3.432.737,70;5.303.786,00;5;2;6;3;3;2
3.432.764,10;5.303.784,40;2;1;6;3;3;2
3.432.790,40;5.303.782,80;2;3;6;3;3;2
3.432.816,60;5.303.781,20;2;2;6;3;3;2
3.432.842,80;5.303.779,60;2;2;5;2;2;1
3.432.868,90;5.303.778,00;2;1;5;2;2;1
3.432.894,90;5.303.776,40;2;1;5;2;2;1
3.432.920,80;5.303.774,90;2;2;5;2;2;1
3.432.946,80;5.303.773,40;2;1;5;2;2;1
3.432.972,70;5.303.771,90;2;3;6;2;3;1
3.432.998,60;5.303.770,50;2;2;6;2;3;1
3.433.024,30;5.303.769,00;2;2;6;2;3;1
3.433.050,00;5.303.767,50;2;2;6;2;3;1
3.432.022,30;5.303.793,10;2;3;0;0;0;0
3.432.048,80;5.303.791,80;2;3;0;0;0;0
3.432.388,50;5.303.778,00;2;2;0;0;0;0
3.432.415,30;5.303.776,70;2;1;5;2;2;1
3.432.522,80;5.303.771,10;2;2;5;2;2;1
3.432.549,70;5.303.769,70;2;1;5;2;2;1
3.432.603,20;5.303.766,90;2;2;5;2;2;1
3.432.630,00;5.303.765,50;2;1;5;2;2;1
3.432.656,70;5.303.764,10;2;1;6;3;3;2
3.432.683,40;5.303.762,60;2;3;6;3;3;2
3.432.710,00;5.303.761,10;2;3;6;3;3;2
3.432.736,50;5.303.759,50;2;3;6;3;3;2
3.432.762,90;5.303.758,00;5;3;6;3;3;2
3.432.789,30;5.303.756,40;2;2;6;3;3;2
3.432.815,50;5.303.754,80;2;2;6;3;3;2
3.432.841,70;5.303.753,30;2;1;5;2;2;1
3.432.867,80;5.303.751,70;2;1;5;2;2;1
3.432.893,80;5.303.750,20;2;3;5;2;2;1
3.432.919,90;5.303.748,70;2;2;5;2;2;1
3.432.945,80;5.303.747,30;2;2;6;2;3;1
3.432.971,80;5.303.745,80;2;3;6;2;3;1
3.432.997,80;5.303.744,40;2;3;6;2;3;1
3.433.023,50;5.303.743,00;2;2;6;2;3;1
3.433.049,20;5.303.741,50;2;1;6;2;3;1
3.432.049,50;5.303.764,70;2;4;0;0;0;0
3.432.387,60;5.303.750,90;2;3;0;0;0;0
3.432.414,30;5.303.749,70;2;3;5;2;2;1
3.432.494,70;5.303.745,80;2;1;5;2;2;1
3.432.548,30;5.303.743,00;2;1;5;2;2;1
3.432.575,20;5.303.741,70;2;1;5;2;2;1
3.432.601,90;5.303.740,30;2;1;5;2;2;1
3.432.628,70;5.303.738,90;2;1;5;2;2;1
3.432.655,40;5.303.737,50;5;1;5;2;2;1
3.432.682,10;5.303.736,00;5;2;6;3;3;2
3.432.708,70;5.303.734,50;2;2;6;3;3;2
3.432.735,30;5.303.733,00;2;1;6;3;3;2
3.432.761,70;5.303.731,40;2;2;6;3;3;2
3.432.788,10;5.303.729,90;2;1;5;2;2;1
3.432.814,30;5.303.728,40;2;1;5;2;2;1
3.432.840,50;5.303.726,80;2;1;5;2;2;1
3.432.866,60;5.303.725,30;2;2;5;2;2;1
3.432.892,70;5.303.723,80;3;1;5;2;2;1
3.432.918,70;5.303.722,40;2;1;6;2;3;1
3.432.944,70;5.303.721,00;3;1;6;2;3;1
3.432.970,70;5.303.719,60;2;2;6;2;3;1
3.432.996,60;5.303.718,20;2;2;6;2;3;1
3.433.022,40;5.303.716,70;2;1;6;3;3;2
3.433.048,00;5.303.715,30;2;1;6;3;3;2
3.431.998,30;5.303.740,20;2;4;0;0;0;0
3.432.024,30;5.303.739,00;2;3;7;2;3;1
3.432.075,70;5.303.736,80;2;4;7;2;3;1
3.432.413,20;5.303.722,70;2;2;5;2;2;1
3.432.466,60;5.303.720,30;2;1;5;2;2;1
3.432.493,40;5.303.719,00;2;1;5;2;2;1
3.432.520,20;5.303.717,70;3;3;5;2;2;1
3.432.547,00;5.303.716,30;2;4;5;2;2;1
3.432.600,60;5.303.713,60;2;1;0;0;0;0
3.432.627,40;5.303.712,20;2;2;5;2;2;1
3.432.654,20;5.303.710,80;2;1;5;2;2;1
3.432.680,90;5.303.709,40;5;1;5;2;2;1
3.432.707,50;5.303.707,90;2;2;6;3;3;2
3.432.734,10;5.303.706,40;2;3;6;3;3;2
3.432.760,50;5.303.704,90;2;1;5;2;2;1
3.432.786,90;5.303.703,40;2;1;5;2;2;1
3.432.813,10;5.303.701,90;2;1;5;2;2;1
3.432.839,30;5.303.700,40;2;1;5;2;2;1
3.432.865,50;5.303.698,90;2;2;6;2;3;1
3.432.891,50;5.303.697,50;2;2;6;2;3;1
3.432.917,60;5.303.696,10;2;2;6;2;3;1
3.432.943,60;5.303.694,70;2;1;6;2;3;1
3.432.969,60;5.303.693,30;2;1;6;2;3;1
3.432.995,50;5.303.691,90;2;2;6;2;3;1
3.433.021,10;5.303.690,50;2;2;6;3;3;2
3.433.046,60;5.303.689,00;2;3;6;3;3;2
3.431.974,10;5.303.714,50;2;4;0;0;0;0
3.432.000,20;5.303.713,30;2;4;7;2;3;1
3.432.025,60;5.303.712,20;2;3;7;2;3;1
3.432.050,90;5.303.711,10;2;2;7;2;3;1
3.432.076,10;5.303.710,00;2;3;7;2;3;1
3.432.412,10;5.303.695,80;2;3;5;2;2;1
3.432.465,30;5.303.693,40;2;2;5;2;2;1
3.432.492,00;5.303.692,20;2;1;5;2;2;1
3.432.518,90;5.303.690,90;3;2;5;2;2;1
3.432.545,70;5.303.689,50;2;3;5;2;2;1
3.432.626,20;5.303.685,50;5;2;6;3;3;2
3.432.652,90;5.303.684,10;2;1;0;0;0;0
3.432.679,70;5.303.682,70;5;2;5;2;2;1
3.432.706,30;5.303.681,20;2;2;5;2;2;1
3.432.732,90;5.303.679,80;2;2;5;2;2;1
3.432.759,30;5.303.678,30;2;1;5;2;2;1
3.432.785,70;5.303.676,80;2;1;5;2;2;1
3.432.812,00;5.303.675,40;2;2;5;2;2;1
3.432.838,20;5.303.674,00;2;1;5;2;2;1
3.432.864,30;5.303.672,50;2;3;6;2;3;1
3.432.890,40;5.303.671,10;2;3;6;2;3;1
3.432.916,40;5.303.669,80;2;2;6;2;3;1
3.432.942,50;5.303.668,40;2;2;6;2;3;1
3.432.968,40;5.303.667,00;2;1;6;2;3;1
3.432.994,20;5.303.665,60;2;3;6;3;3;2
3.433.019,70;5.303.664,20;2;2;6;3;3;2
3.431.975,40;5.303.687,90;2;3;0;0;0;0
3.432.001,20;5.303.686,70;2;4;7;2;3;1
3.432.026,20;5.303.685,60;2;3;7;2;3;1
3.432.051,20;5.303.684,60;2;3;7;2;3;1
3.432.076,10;5.303.683,50;2;3;7;2;3;1
3.432.384,40;5.303.670,20;2;2;0;0;0;0
3.432.410,90;5.303.669,00;2;1;5;2;2;1
3.432.437,40;5.303.667,80;2;4;5;2;2;1
3.432.464,00;5.303.666,60;2;2;7;2;3;2
3.432.517,50;5.303.664,00;2;4;5;2;2;1
3.432.544,40;5.303.662,70;2;3;7;2;3;2
3.432.571,20;5.303.661,40;2;4;5;2;2;1
3.432.624,90;5.303.658,70;5;3;6;3;3;2
3.432.651,70;5.303.657,30;5;1;6;3;3;2
3.432.678,40;5.303.656,00;5;2;6;3;3;2
3.432.731,70;5.303.653,10;2;3;0;0;0;0
3.432.758,10;5.303.651,70;2;1;5;2;2;1
3.432.784,50;5.303.650,30;2;2;5;2;2;1
3.432.810,80;5.303.648,90;2;1;5;2;2;1
3.432.837,00;5.303.647,50;5;1;5;2;2;1
3.432.863,20;5.303.646,10;2;1;5;2;2;1
3.432.889,30;5.303.644,80;2;3;5;2;2;1
3.432.915,30;5.303.643,40;2;1;6;2;3;1
3.432.941,30;5.303.642,10;2;2;6;2;3;1
3.432.967,20;5.303.640,70;2;1;5;2;2;1
3.432.992,90;5.303.639,30;2;1;6;3;3;2
3.431.975,90;5.303.661,60;2;3;7;2;3;1
3.432.001,50;5.303.660,40;2;3;7;2;3;1
3.432.026,30;5.303.659,30;2;3;7;2;3;1
3.432.051,20;5.303.658,20;2;3;7;2;3;1
3.432.383,30;5.303.643,40;2;1;5;2;2;1
3.432.409,70;5.303.642,20;2;1;5;2;2;1
3.432.436,20;5.303.640,90;2;3;5;2;2;1
3.432.462,80;5.303.639,70;2;3;7;2;3;2
3.432.489,50;5.303.638,50;2;2;7;2;3;2
3.432.516,20;5.303.637,20;2;1;5;2;2;1
3.432.543,10;5.303.635,90;2;3;7;2;3;2
3.432.569,90;5.303.634,60;2;3;7;2;3;2
3.432.596,80;5.303.633,30;5;3;6;3;3;2
3.432.623,60;5.303.631,90;2;2;6;3;3;2
3.432.650,40;5.303.630,60;2;1;6;3;3;2
3.432.677,20;5.303.629,20;5;2;6;3;3;2
3.432.703,90;5.303.627,80;2;2;4;2;3;1
3.432.730,50;5.303.626,50;5;2;4;2;3;1
3.432.757,00;5.303.625,10;5;1;5;2;2;1
3.432.809,70;5.303.622,40;2;2;5;2;2;1
3.432.835,90;5.303.621,00;5;2;5;2;2;1
3.432.862,10;5.303.619,70;5;3;5;2;2;1
3.432.888,20;5.303.618,40;2;1;5;2;2;1
3.432.914,20;5.303.617,10;2;1;5;2;2;1
3.432.940,20;5.303.615,70;2;3;5;2;2;1
3.432.966,00;5.303.614,40;2;2;5;2;2;1
3.432.991,70;5.303.613,10;2;1;6;3;3;2
3.432.001,00;5.303.634,30;2;3;7;2;3;1
3.432.025,70;5.303.633,10;2;1;7;2;3;1
3.432.050,50;5.303.632,00;2;2;7;2;3;1
3.432.382,20;5.303.616,60;2;3;5;2;2;1
3.432.408,60;5.303.615,30;2;4;5;2;2;1
3.432.435,10;5.303.614,10;2;3;5;2;2;1
3.432.461,60;5.303.612,80;2;3;7;2;3;2
3.432.488,20;5.303.611,60;2;4;7;2;3;2
3.432.515,00;5.303.610,30;2;3;7;2;3;2
3.432.541,80;5.303.609,00;2;4;7;2;3;2
3.432.568,60;5.303.607,70;2;3;7;2;3;2
3.432.595,50;5.303.606,40;2;3;6;3;3;2
3.432.622,40;5.303.605,10;2;3;6;3;3;2
3.432.649,20;5.303.603,80;2;2;6;3;3;2
3.432.676,00;5.303.602,40;2;1;4;2;3;1
3.432.702,70;5.303.601,10;5;1;4;2;3;1
3.432.729,30;5.303.599,80;5;1;4;2;3;1
3.432.755,80;5.303.598,50;5;1;4;2;3;1
3.432.782,20;5.303.597,20;5;1;5;2;2;1
3.432.808,50;5.303.595,90;5;1;5;2;2;1
3.432.861,00;5.303.593,30;2;1;0;0;0;0
3.432.887,10;5.303.592,00;2;2;5;2;2;1
3.432.913,10;5.303.590,70;2;1;5;2;2;1
3.432.939,10;5.303.589,40;2;2;5;2;2;1
3.432.964,90;5.303.588,10;2;1;5;2;2;1
3.432.990,60;5.303.586,80;2;1;6;3;3;2
3.432.354,90;5.303.591,10;2;3;0;0;0;0
3.432.381,10;5.303.589,80;2;2;5;2;2;1
3.432.407,50;5.303.588,50;2;3;5;2;2;1
3.432.433,90;5.303.587,20;2;4;5;2;2;1
3.432.460,50;5.303.586,00;2;4;7;2;3;2
3.432.487,10;5.303.584,70;2;4;7;2;3;2
3.432.513,80;5.303.583,40;2;3;7;2;3;2
3.432.540,60;5.303.582,10;2;1;7;2;3;2
3.432.567,40;5.303.580,80;2;1;5;2;2;1
3.432.621,10;5.303.578,20;2;1;4;2;2;1
3.432.648,00;5.303.576,90;2;2;4;2;2;1
3.432.674,70;5.303.575,60;5;3;4;2;3;1
3.432.701,40;5.303.574,40;5;3;4;2;3;1
3.432.728,10;5.303.573,10;5;2;4;2;3;1
3.432.754,60;5.303.571,80;5;1;4;2;3;1
3.432.781,00;5.303.570,50;5;1;4;2;3;1
3.432.807,40;5.303.569,30;5;1;7;2;4;2
3.432.886,00;5.303.565,50;2;1;0;0;0;0
3.432.938,00;5.303.563,00;2;2;5;2;2;1
3.432.963,80;5.303.561,80;2;2;5;2;2;1
3.432.353,70;5.303.564,30;2;4;5;2;2;1
3.432.380,00;5.303.563,00;2;3;5;2;2;1
3.432.406,30;5.303.561,70;2;4;5;2;2;1
3.432.432,80;5.303.560,40;2;1;5;2;2;1
3.432.459,30;5.303.559,10;2;3;0;0;0;0
3.432.485,90;5.303.557,80;2;3;7;2;3;2
3.432.512,60;5.303.556,50;2;3;7;2;3;2
3.432.539,40;5.303.555,20;2;1;5;2;2;1
3.432.566,20;5.303.553,90;2;1;5;2;2;1
3.432.593,10;5.303.552,60;2;3;5;2;2;1
3.432.619,90;5.303.551,40;2;1;4;2;2;1
3.432.646,70;5.303.550,10;2;1;4;2;2;1
3.432.700,20;5.303.547,60;5;2;4;2;3;1
3.432.726,80;5.303.546,40;5;1;4;2;3;1
3.432.753,40;5.303.545,10;5;1;4;2;3;1
3.432.779,80;5.303.543,90;5;2;4;2;3;1
3.432.806,20;5.303.542,70;5;2;7;2;4;2
3.432.832,50;5.303.541,50;5;2;7;2;4;2
3.432.858,70;5.303.540,20;2;2;7;2;4;2
3.432.884,80;5.303.539,00;2;4;5;2;2;1
3.432.910,90;5.303.537,80;2;2;5;2;2;1
3.432.936,90;5.303.536,60;2;1;5;2;2;1
3.432.962,70;5.303.535,40;2;1;0;0;0;0
3.432.352,60;5.303.537,60;2;2;5;2;2;1
3.432.378,80;5.303.536,30;2;2;5;2;2;1
3.432.405,20;5.303.534,90;2;3;5;2;2;1
3.432.431,60;5.303.533,60;2;3;5;2;2;1
3.432.458,10;5.303.532,30;3;2;5;2;2;1
3.432.484,70;5.303.531,00;3;2;7;2;3;2
3.432.511,40;5.303.529,60;3;3;7;2;3;2
3.432.538,20;5.303.528,30;2;2;5;2;2;1
3.432.565,00;5.303.527,00;2;1;5;2;2;1
3.432.591,80;5.303.525,70;2;1;4;2;2;1
3.432.618,70;5.303.524,50;2;1;4;2;2;1
3.432.645,50;5.303.523,20;2;1;4;2;2;1
3.432.672,30;5.303.522,00;2;1;4;2;2;1
3.432.699,00;5.303.520,80;2;2;4;2;3;1
3.432.725,60;5.303.519,60;5;2;4;2;3;1
3.432.752,20;5.303.518,40;5;2;4;2;3;1
3.432.778,60;5.303.517,30;5;2;4;2;3;1
3.432.805,00;5.303.516,10;5;1;4;2;3;1
3.432.831,30;5.303.514,90;5;1;7;2;4;2
3.432.857,50;5.303.513,70;5;2;7;2;4;2
3.432.883,70;5.303.512,50;5;3;7;2;4;2
3.432.909,80;5.303.511,40;5;2;7;2;4;2
3.432.935,70;5.303.510,20;2;2;5;2;2;1
3.432.351,40;5.303.510,90;2;2;5;2;2;1
3.432.377,70;5.303.509,60;2;3;5;2;2;1
3.432.404,10;5.303.508,20;2;3;5;2;2;1
3.432.430,50;5.303.506,80;2;3;5;2;2;1
3.432.457,00;5.303.505,50;3;3;5;2;2;1
3.432.483,60;5.303.504,10;2;3;7;2;3;2
3.432.510,20;5.303.502,80;2;3;7;2;3;2
3.432.563,80;5.303.500,20;2;2;4;2;2;1
3.432.590,60;5.303.498,80;2;1;4;2;2;1
3.432.617,40;5.303.497,60;2;1;4;2;2;1
3.432.644,20;5.303.496,40;2;2;4;2;2;1
3.432.671,00;5.303.495,20;2;1;4;2;2;1
3.432.724,40;5.303.492,90;5;4;4;2;3;1
3.432.751,00;5.303.491,70;5;3;4;2;3;1
3.432.803,80;5.303.489,40;5;2;4;2;3;1
3.432.830,20;5.303.488,30;5;1;4;2;3;1
3.432.856,40;5.303.487,20;5;1;4;2;3;1
3.432.882,60;5.303.486,00;5;1;7;2;4;2
3.432.908,70;5.303.484,90;5;1;7;2;4;2
3.432.350,20;5.303.484,20;2;1;5;2;2;1
3.432.376,50;5.303.482,80;3;2;5;2;2;1
3.432.402,90;5.303.481,50;2;2;5;2;2;1
3.432.429,30;5.303.480,10;3;3;5;2;2;1
3.432.482,40;5.303.477,30;2;3;7;2;3;2
3.432.509,00;5.303.475,90;2;3;7;2;3;2
3.432.535,80;5.303.474,60;2;3;4;2;2;1
3.432.562,50;5.303.473,30;2;1;4;2;2;1
3.432.589,30;5.303.472,00;2;1;4;2;2;1
3.432.616,20;5.303.470,70;2;1;4;2;2;1
3.432.643,00;5.303.469,50;2;1;4;2;2;1
3.432.669,80;5.303.468,40;2;1;4;2;2;1
3.432.696,50;5.303.467,20;2;1;4;2;2;1
3.432.723,20;5.303.466,10;5;3;4;2;3;1
3.432.776,30;5.303.463,90;5;4;4;2;3;1
3.432.802,70;5.303.462,80;5;3;4;2;3;1
3.432.829,00;5.303.461,70;5;1;4;2;3;1
3.432.855,30;5.303.460,60;5;1;4;2;3;1
3.432.881,50;5.303.459,40;5;1;4;2;3;1
3.432.907,60;5.303.458,30;5;1;4;2;3;1
3.432.349,10;5.303.457,50;2;3;0;0;0;0
3.432.375,40;5.303.456,10;2;4;5;2;2;1
3.432.401,80;5.303.454,70;3;4;7;2;3;2
3.432.428,20;5.303.453,30;2;3;7;2;3;2
3.432.454,70;5.303.451,90;8;2;5;2;2;1
3.432.481,20;5.303.450,50;3;3;0;0;0;0
3.432.507,80;5.303.449,10;2;2;7;2;4;2
3.432.561,30;5.303.446,40;2;1;4;2;2;1
3.432.588,10;5.303.445,10;2;1;4;2;2;1
3.432.614,90;5.303.443,80;2;1;4;2;2;1
3.432.641,80;5.303.442,70;2;1;4;2;2;1
3.432.668,60;5.303.441,60;2;2;4;2;2;1
3.432.695,30;5.303.440,40;2;1;4;2;2;1
3.432.722,00;5.303.439,30;2;2;4;2;3;1
3.432.827,80;5.303.435,00;5;2;4;2;3;1
3.432.854,10;5.303.434,00;5;2;4;2;3;1
3.432.880,40;5.303.432,90;5;1;4;2;3;1
3.432.906,50;5.303.431,80;5;1;4;2;3;1
3.432.348,00;5.303.430,90;2;3;0;0;0;0
3.432.374,30;5.303.429,50;2;2;5;2;2;1
3.432.400,60;5.303.428,00;2;3;7;2;3;2
3.432.427,10;5.303.426,60;3;2;7;2;3;2
3.432.453,50;5.303.425,10;2;3;7;2;3;2
3.432.506,70;5.303.422,30;2;4;7;2;4;2
3.432.560,10;5.303.419,60;2;1;4;2;2;1
3.432.586,90;5.303.418,30;2;1;4;2;2;1
3.432.613,70;5.303.417,00;2;2;4;2;2;1
3.432.640,60;5.303.415,90;2;2;4;2;2;1
3.432.667,30;5.303.414,80;2;1;4;2;2;1
3.432.694,10;5.303.413,70;2;1;4;2;2;1
3.432.720,70;5.303.412,60;2;1;4;2;2;1
3.432.747,30;5.303.411,50;2;3;4;2;3;1
3.432.773,80;5.303.410,50;5;1;4;2;3;1
3.432.800,30;5.303.409,50;5;2;4;2;3;1
3.432.826,60;5.303.408,40;5;1;4;2;3;1
3.432.852,90;5.303.407,40;5;1;4;2;3;1
3.432.879,20;5.303.406,30;5;2;4;2;3;1
3.432.905,40;5.303.405,30;2;2;4;2;3;1
3.432.346,90;5.303.404,30;2;2;0;0;0;0
3.432.373,20;5.303.402,80;2;4;7;2;3;2
3.432.399,50;5.303.401,40;2;3;7;2;3;2
3.432.425,90;5.303.399,90;2;3;7;2;3;2
3.432.452,40;5.303.398,40;2;2;7;2;4;2
3.432.478,90;5.303.397,00;2;1;6;2;3;1
3.432.532,20;5.303.394,10;2;3;4;2;2;1
3.432.558,90;5.303.392,80;2;1;4;2;2;1
3.432.585,70;5.303.391,50;2;1;4;2;2;1
3.432.612,60;5.303.390,30;2;1;4;2;2;1
3.432.639,30;5.303.389,10;2;1;4;2;2;1
3.432.666,10;5.303.388,00;2;1;4;2;2;1
3.432.692,90;5.303.386,90;2;2;4;2;2;1
3.432.719,50;5.303.385,90;5;3;4;2;3;1
3.432.746,10;5.303.384,90;5;1;4;2;3;1
3.432.772,60;5.303.383,90;5;1;4;2;3;1
3.432.799,00;5.303.382,90;5;2;4;2;3;1
3.432.825,40;5.303.381,80;5;2;4;2;3;1
3.432.851,70;5.303.380,80;5;1;4;2;3;1
3.432.878,00;5.303.379,80;2;1;4;2;3;1
3.432.904,20;5.303.378,70;2;4;4;2;3;1
3.432.372,20;5.303.376,30;2;3;7;2;3;2
3.432.398,50;5.303.374,80;3;1;7;2;3;2
3.432.424,90;5.303.373,30;2;1;7;2;4;2
3.432.451,30;5.303.371,80;2;4;6;2;3;1
3.432.477,90;5.303.370,30;2;2;6;2;3;1
3.432.557,90;5.303.366,20;8;3;4;2;2;1
3.432.584,60;5.303.364,90;2;1;4;2;2;1
3.432.611,40;5.303.363,70;2;1;4;2;2;1
3.432.638,20;5.303.362,50;2;1;4;2;2;1
3.432.664,90;5.303.361,30;2;2;4;2;2;1
3.432.691,60;5.303.360,20;2;1;4;2;2;1
3.432.718,30;5.303.359,20;5;3;4;2;3;1
3.432.771,40;5.303.357,20;5;1;4;2;3;1
3.432.797,80;5.303.356,30;5;1;4;2;3;1
3.432.824,20;5.303.355,30;5;1;4;2;3;1
3.432.850,50;5.303.354,20;5;2;4;2;3;1
3.432.876,80;5.303.353,20;2;2;4;2;3;1
3.432.903,00;5.303.352,20;2;2;2;2;4;1
3.432.929,00;5.303.351,30;2;1;2;2;4;1
3.432.371,30;5.303.349,80;2;3;7;2;3;2
3.432.397,60;5.303.348,30;3;3;7;2;4;2
3.432.423,90;5.303.346,70;2;3;7;2;4;2
3.432.450,30;5.303.345,20;2;2;6;2;3;1
3.432.476,90;5.303.343,80;2;1;6;2;3;1
3.432.503,40;5.303.342,40;2;3;6;2;3;1
3.432.583,50;5.303.338,40;2;3;4;2;2;1
3.432.610,20;5.303.337,10;2;1;4;2;2;1
3.432.637,00;5.303.335,90;2;2;4;2;2;1
3.432.663,70;5.303.334,70;2;1;4;2;2;1
3.432.690,40;5.303.333,60;2;1;4;2;2;1
3.432.717,00;5.303.332,60;5;2;4;2;3;1
3.432.743,60;5.303.331,60;5;1;4;2;3;1
3.432.770,10;5.303.330,60;5;1;4;2;3;1
3.432.796,60;5.303.329,70;5;1;4;2;3;1
3.432.822,90;5.303.328,70;5;2;4;2;3;1
3.432.849,20;5.303.327,80;2;3;7;2;4;2
3.432.875,50;5.303.326,80;2;4;7;2;4;2
3.432.901,70;5.303.325,80;2;3;7;2;4;2
3.432.953,70;5.303.324,00;2;1;2;2;4;1
3.432.979,60;5.303.323,20;2;1;2;2;4;1
3.432.396,70;5.303.321,90;2;3;7;2;4;2
3.432.423,00;5.303.320,30;2;2;7;2;4;2
3.432.449,40;5.303.318,80;2;2;6;2;3;1
3.432.475,90;5.303.317,40;2;2;6;2;3;1
3.432.502,50;5.303.315,90;2;1;6;2;3;1
3.432.529,10;5.303.314,60;2;2;6;2;3;1
3.432.555,70;5.303.313,20;2;3;6;2;3;1
3.432.609,10;5.303.310,60;2;4;4;2;2;1
3.432.635,80;5.303.309,40;2;1;4;2;2;1
3.432.662,50;5.303.308,20;2;1;4;2;2;1
3.432.689,20;5.303.307,10;2;1;4;2;2;1
3.432.715,80;5.303.306,00;2;1;4;2;2;1
3.432.742,40;5.303.305,00;2;1;4;2;2;1
3.432.795,30;5.303.303,10;2;3;4;2;3;1
3.432.821,70;5.303.302,20;2;3;7;2;4;2
3.432.848,00;5.303.301,30;2;3;7;2;4;2
3.432.874,20;5.303.300,40;2;4;2;2;4;1
3.432.900,40;5.303.299,50;2;3;2;2;4;1
3.432.926,50;5.303.298,60;2;4;2;2;4;1
3.432.952,50;5.303.297,70;2;1;2;2;4;1
3.432.978,40;5.303.296,80;2;1;5;2;2;1
3.432.395,80;5.303.295,60;2;4;7;2;4;2
3.432.422,10;5.303.294,00;2;2;7;2;4;2
3.432.448,50;5.303.292,50;2;2;6;2;3;1
3.432.475,00;5.303.291,10;2;2;6;2;3;1
3.432.501,50;5.303.289,60;2;2;6;2;3;1
3.432.528,10;5.303.288,20;2;1;6;2;3;1
3.432.581,30;5.303.285,50;2;3;5;2;2;1
3.432.661,30;5.303.281,90;2;2;4;2;2;1
3.432.687,90;5.303.280,80;2;1;4;2;2;1
3.432.714,50;5.303.279,80;2;2;4;2;2;1
3.432.741,10;5.303.278,80;2;2;4;2;2;1
3.432.794,00;5.303.276,90;2;4;7;2;4;2
3.432.820,30;5.303.275,90;2;1;7;2;4;2
3.432.846,60;5.303.275,00;2;1;7;2;4;2
3.432.872,90;5.303.274,00;2;2;4;2;2;1
3.432.951,20;5.303.271,30;2;2;4;2;2;1
3.432.977,10;5.303.270,50;2;1;5;2;2;1
3.432.421,50;5.303.268,00;2;1;7;2;4;2
3.432.447,80;5.303.266,50;2;1;6;2;3;1
3.432.474,20;5.303.265,00;2;1;6;2;3;1
3.432.500,60;5.303.263,50;2;1;6;2;3;1
3.432.527,10;5.303.262,00;2;1;6;2;3;1
3.432.553,60;5.303.260,60;2;2;5;2;2;1
3.432.580,20;5.303.259,20;2;2;5;2;2;1
3.432.606,80;5.303.258,00;2;3;5;2;2;1
3.432.633,50;5.303.256,80;2;4;0;0;0;0
3.432.792,60;5.303.250,60;2;1;7;2;4;2
3.432.819,00;5.303.249,70;2;1;4;2;2;1
3.432.845,30;5.303.248,70;2;1;4;2;2;1
3.432.871,50;5.303.247,70;2;1;4;2;2;1
3.432.897,70;5.303.246,80;2;2;4;2;2;1
3.432.949,90;5.303.245,00;2;1;4;2;2;1
3.432.975,90;5.303.244,20;2;2;5;2;2;1
3.432.447,00;5.303.240,60;2;1;5;2;2;1
3.432.473,40;5.303.239,00;2;1;5;2;2;1
3.432.499,70;5.303.237,40;2;1;5;2;2;1
3.432.552,70;5.303.234,50;2;1;5;2;2;1
3.432.579,20;5.303.233,20;2;1;5;2;2;1
3.432.605,80;5.303.232,00;2;2;5;2;2;1
3.432.632,40;5.303.230,80;2;1;5;2;2;1
3.432.658,90;5.303.229,70;2;3;5;2;2;1
3.432.685,50;5.303.228,60;2;4;5;2;2;1
3.432.764,90;5.303.225,40;3;3;7;2;4;2
3.432.791,30;5.303.224,40;3;4;4;2;2;1
3.432.817,70;5.303.223,40;2;1;4;2;2;1
3.432.844,00;5.303.222,40;2;1;4;2;2;1
3.432.870,30;5.303.221,40;2;1;4;2;2;1
3.432.896,50;5.303.220,40;2;1;4;2;2;1
3.432.922,60;5.303.219,60;2;1;4;2;2;1
3.432.948,70;5.303.218,70;2;1;4;2;2;1
3.432.974,60;5.303.217,80;2;1;5;2;2;1
3.433.000,60;5.303.217,00;2;1;5;2;2;1
3.433.026,40;5.303.216,20;2;2;5;2;2;1
3.433.052,10;5.303.215,40;2;1;6;3;3;2
3.432.498,90;5.303.211,60;2;1;5;2;2;1
3.432.525,30;5.303.210,10;2;1;5;2;2;1
3.432.551,70;5.303.208,70;2;1;5;2;2;1
3.432.578,20;5.303.207,40;2;1;5;2;2;1
3.432.604,70;5.303.206,20;2;1;5;2;2;1
3.432.631,30;5.303.205,00;2;1;5;2;2;1
3.432.657,80;5.303.203,80;2;2;5;2;2;1
3.432.790,00;5.303.198,20;3;3;7;2;4;2
3.432.816,40;5.303.197,10;2;1;4;2;2;1
